average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
21691.02      	40.729  	44.153  	45.149  	86750.40      	43.603  	45.634  	46.305  	12396.82      	40.318  	43.941  	44.984  	0.00          	0.000   	0.000   	0.000   	MarketPlace_22
7360.38       	38.574  	43.182  	44.136  	42222.24      	40.942  	44.031  	44.915  	2380.11       	38.235  	43.061  	44.025  	0.00          	0.000   	0.000   	0.000   	MarketPlace_27
3548.46       	36.782  	42.138  	42.920  	21978.72      	38.732  	42.629  	43.404  	915.57        	36.504  	42.067  	42.851  	0.00          	0.000   	0.000   	0.000   	MarketPlace_32
1804.74       	34.789  	40.812  	41.537  	11389.92      	36.383  	40.914  	41.867  	435.43        	34.561  	40.798  	41.490  	0.00          	0.000   	0.000   	0.000   	MarketPlace_37
21946.50      	40.478  	45.213  	46.813  	90005.28      	43.089  	45.923  	48.078  	12223.82      	40.105  	45.112  	46.632  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_22
6444.30       	38.894  	43.918  	44.527  	27717.60      	40.279  	44.877  	46.381  	3405.26       	38.696  	43.781  	44.262  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_27
3081.30       	37.387  	42.731  	42.781  	13504.32      	38.844  	43.637  	44.337  	1592.30       	37.179  	42.601  	42.559  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_32
1689.06       	35.654  	41.362  	40.871  	7584.00       	37.318  	42.130  	42.246  	846.93        	35.416  	41.252  	40.675  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_37
64212.60      	39.401  	42.509  	44.773  	188481.12     	44.321  	43.626  	45.309  	46459.95      	38.698  	42.350  	44.697  	0.00          	0.000   	0.000   	0.000   	BQTerrace_22
15796.02      	35.377  	41.293  	43.599  	100141.44     	39.025  	41.711  	43.830  	3746.67       	34.856  	41.234  	43.566  	0.00          	0.000   	0.000   	0.000   	BQTerrace_27
7292.10       	33.594  	39.903  	42.296  	52926.72      	35.642  	40.030  	42.389  	772.87        	33.301  	39.885  	42.283  	0.00          	0.000   	0.000   	0.000   	BQTerrace_32
3802.14       	31.606  	38.071  	40.367  	28783.20      	32.737  	38.145  	40.434  	233.42        	31.444  	38.060  	40.358  	0.00          	0.000   	0.000   	0.000   	BQTerrace_37
