average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
793.79        	42.777  	46.000  	45.580  	8594.88       	45.286  	47.753  	48.102  	0.00          	0.000   	0.000   	0.000   	671.89        	42.738  	45.973  	45.541  	BasketballPass_22
394.71        	39.109  	43.288  	42.524  	5275.68       	42.070  	44.683  	44.727  	0.00          	0.000   	0.000   	0.000   	318.44        	39.063  	43.266  	42.490  	BasketballPass_27
200.77        	35.836  	40.996  	40.117  	3140.64       	38.862  	41.862  	41.980  	0.00          	0.000   	0.000   	0.000   	154.83        	35.789  	40.983  	40.088  	BasketballPass_32
106.78        	32.984  	39.023  	38.201  	1775.52       	35.610  	39.102  	39.119  	0.00          	0.000   	0.000   	0.000   	80.71         	32.943  	39.022  	38.186  	BasketballPass_37
1697.52       	38.571  	41.828  	43.459  	14482.08      	42.594  	44.534  	46.533  	0.00          	0.000   	0.000   	0.000   	1497.76       	38.508  	41.786  	43.411  	BlowingBubbles_22
780.14        	35.450  	39.369  	40.870  	9041.76       	39.501  	41.325  	43.273  	0.00          	0.000   	0.000   	0.000   	651.05        	35.387  	39.339  	40.833  	BlowingBubbles_27
377.62        	32.637  	37.180  	38.598  	5384.16       	36.324  	38.742  	40.398  	0.00          	0.000   	0.000   	0.000   	299.39        	32.579  	37.156  	38.570  	BlowingBubbles_32
189.47        	30.113  	35.426  	36.761  	2983.20       	33.166  	35.772  	37.854  	0.00          	0.000   	0.000   	0.000   	145.82        	30.065  	35.421  	36.744  	BlowingBubbles_37
1095.36       	39.208  	44.968  	45.967  	14270.40      	42.678  	46.056  	46.945  	0.00          	0.000   	0.000   	0.000   	889.50        	39.154  	44.951  	45.951  	BQSquare_22
472.56        	35.944  	42.687  	43.565  	9867.84       	39.338  	43.225  	44.100  	0.00          	0.000   	0.000   	0.000   	325.75        	35.891  	42.678  	43.556  	BQSquare_27
230.04        	32.727  	40.554  	41.331  	6365.76       	35.593  	41.190  	41.818  	0.00          	0.000   	0.000   	0.000   	134.17        	32.682  	40.544  	41.323  	BQSquare_32
128.02        	30.050  	38.727  	39.375  	4028.64       	32.209  	39.058  	39.517  	0.00          	0.000   	0.000   	0.000   	67.07         	30.016  	38.722  	39.373  	BQSquare_37
2138.40       	39.366  	41.899  	42.382  	12976.80      	43.728  	45.138  	45.798  	0.00          	0.000   	0.000   	0.000   	1969.05       	39.298  	41.848  	42.329  	RaceHorses_22
1041.82       	35.580  	39.378  	39.673  	8489.28       	40.469  	42.023  	42.763  	0.00          	0.000   	0.000   	0.000   	925.46        	35.504  	39.337  	39.625  	RaceHorses_27
515.10        	32.256  	37.315  	37.335  	5268.48       	37.140  	39.273  	39.954  	0.00          	0.000   	0.000   	0.000   	440.83        	32.180  	37.285  	37.294  	RaceHorses_32
257.30        	29.506  	35.799  	35.649  	3005.76       	33.672  	36.910  	37.321  	0.00          	0.000   	0.000   	0.000   	214.36        	29.441  	35.782  	35.623  	RaceHorses_37
3003.52       	41.721  	44.302  	45.023  	33231.84      	45.380  	46.615  	48.113  	0.00          	0.000   	0.000   	0.000   	2531.20       	41.664  	44.266  	44.975  	BasketballDrill_22
1405.17       	38.765  	42.087  	42.337  	17826.72      	41.896  	44.032  	45.210  	0.00          	0.000   	0.000   	0.000   	1148.58       	38.716  	42.057  	42.292  	BasketballDrill_27
701.94        	35.919  	40.089  	40.135  	9602.40       	38.776  	41.805  	42.796  	0.00          	0.000   	0.000   	0.000   	562.87        	35.875  	40.062  	40.093  	BasketballDrill_32
368.29        	33.343  	38.169  	38.103  	5129.76       	35.926  	39.437  	40.183  	0.00          	0.000   	0.000   	0.000   	293.89        	33.303  	38.149  	38.071  	BasketballDrill_37
3537.04       	40.075  	44.000  	45.100  	34494.72      	42.783  	45.304  	47.275  	0.00          	0.000   	0.000   	0.000   	3053.32       	40.032  	43.980  	45.066  	BQMall_22
1715.44       	37.594  	42.258  	42.764  	22337.28      	40.677  	43.273  	44.778  	0.00          	0.000   	0.000   	0.000   	1393.22       	37.546  	42.242  	42.733  	BQMall_27
884.01        	34.913  	40.394  	40.594  	14115.84      	38.084  	41.305  	42.393  	0.00          	0.000   	0.000   	0.000   	677.26        	34.863  	40.380  	40.566  	BQMall_32
477.37        	32.261  	38.577  	38.678  	8418.72       	35.047  	39.133  	40.037  	0.00          	0.000   	0.000   	0.000   	353.29        	32.217  	38.568  	38.656  	BQMall_37
8272.48       	38.497  	41.865  	42.615  	77805.60      	45.368  	45.710  	46.458  	0.00          	0.000   	0.000   	0.000   	7186.03       	38.390  	41.805  	42.555  	PartyScene_22
3842.96       	34.934  	39.414  	39.906  	51549.12      	40.634  	41.430  	42.230  	0.00          	0.000   	0.000   	0.000   	3097.55       	34.845  	39.382  	39.870  	PartyScene_27
