average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
9916.25       	45.383  	50.472  	51.778  	46578.72      	45.983  	50.980  	52.691  	0.00          	0.000   	0.000   	0.000   	8733.58       	45.364  	50.456  	51.748  	FoodMarket4_22
5056.59       	44.500  	49.156  	49.873  	26061.12      	45.508  	49.957  	51.287  	0.00          	0.000   	0.000   	0.000   	4379.02       	44.468  	49.130  	49.828  	FoodMarket4_27
2694.51       	43.072  	47.601  	47.854  	16539.84      	44.891  	48.659  	49.550  	0.00          	0.000   	0.000   	0.000   	2247.89       	43.013  	47.567  	47.799  	FoodMarket4_32
1489.12       	41.139  	46.120  	46.037  	10522.56      	43.789  	46.801  	47.165  	0.00          	0.000   	0.000   	0.000   	1197.72       	41.053  	46.098  	46.001  	FoodMarket4_37
20101.22      	40.361  	49.435  	47.641  	137680.80     	41.519  	49.994  	49.081  	0.00          	0.000   	0.000   	0.000   	16308.33      	40.323  	49.417  	47.595  	Tango2_22
8136.78       	39.709  	48.505  	46.307  	52120.32      	40.522  	49.267  	47.878  	0.00          	0.000   	0.000   	0.000   	6717.96       	39.683  	48.480  	46.256  	Tango2_27
4155.63       	38.714  	47.259  	44.706  	29743.68      	39.954  	48.368  	46.604  	0.00          	0.000   	0.000   	0.000   	3330.21       	38.674  	47.224  	44.644  	Tango2_32
2333.97       	37.351  	46.167  	43.360  	17455.20      	39.128  	46.919  	44.764  	0.00          	0.000   	0.000   	0.000   	1846.19       	37.294  	46.143  	43.315  	Tango2_37
111895.18     	39.589  	41.251  	41.927  	376155.84     	43.270  	46.657  	44.153  	0.00          	0.000   	0.000   	0.000   	103370.65     	39.470  	41.076  	41.855  	Campfire_22
36436.33      	37.378  	37.774  	39.994  	170690.40     	40.123  	43.333  	42.315  	0.00          	0.000   	0.000   	0.000   	32105.56      	37.289  	37.595  	39.920  	Campfire_27
18740.47      	35.753  	35.793  	38.534  	72741.12      	38.158  	40.358  	40.783  	0.00          	0.000   	0.000   	0.000   	16998.52      	35.676  	35.645  	38.461  	Campfire_32
9697.69       	33.885  	33.771  	36.810  	36342.72      	36.873  	37.463  	38.782  	0.00          	0.000   	0.000   	0.000   	8838.18       	33.789  	33.651  	36.747  	Campfire_37
121354.57     	43.622  	37.327  	38.427  	574925.28     	46.559  	41.265  	41.834  	0.00          	0.000   	0.000   	0.000   	106723.26     	43.527  	37.200  	38.317  	ParkRunning3_22
49064.71      	39.764  	34.512  	36.004  	333167.04     	43.624  	38.274  	39.163  	0.00          	0.000   	0.000   	0.000   	39900.12      	39.640  	34.391  	35.902  	ParkRunning3_27
21765.63      	36.356  	32.556  	34.400  	186561.12     	40.514  	35.567  	36.786  	0.00          	0.000   	0.000   	0.000   	16449.65      	36.222  	32.459  	34.323  	ParkRunning3_32
9877.65       	33.445  	31.018  	32.735  	94251.84      	37.274  	32.549  	34.136  	0.00          	0.000   	0.000   	0.000   	7155.90       	33.321  	30.969  	32.690  	ParkRunning3_37
20035.03      	40.311  	41.884  	43.641  	233227.20     	41.509  	42.393  	44.465  	0.00          	0.000   	0.000   	0.000   	13157.87      	40.272  	41.868  	43.615  	CatRobot_22
9121.84       	39.539  	41.338  	42.492  	114010.08     	40.364  	41.785  	43.403  	0.00          	0.000   	0.000   	0.000   	5738.35       	39.512  	41.323  	42.463  	CatRobot_27
4666.06       	38.288  	40.553  	41.029  	66954.24      	39.396  	41.150  	42.188  	0.00          	0.000   	0.000   	0.000   	2656.77       	38.253  	40.533  	40.992  	CatRobot_32
2583.61       	36.626  	39.700  	39.435  	39547.20      	37.980  	40.118  	40.198  	0.00          	0.000   	0.000   	0.000   	1391.24       	36.583  	39.687  	39.411  	CatRobot_37
27996.42      	37.780  	45.762  	43.405  	355525.44     	39.624  	46.403  	44.133  	0.00          	0.000   	0.000   	0.000   	17430.97      	37.720  	45.741  	43.382  	DaylightRoad2_22
9770.76       	37.174  	44.929  	42.556  	113697.12     	37.834  	45.569  	43.174  	0.00          	0.000   	0.000   	0.000   	6418.30       	37.153  	44.908  	42.536  	DaylightRoad2_27
4817.11       	36.260  	43.907  	41.561  	64197.60      	37.179  	44.632  	42.186  	0.00          	0.000   	0.000   	0.000   	2901.62       	36.230  	43.883  	41.541  	DaylightRoad2_32
2571.18       	34.964  	42.579  	39.954  	36393.60      	36.178  	43.141  	40.252  	0.00          	0.000   	0.000   	0.000   	1480.13       	34.924  	42.561  	39.944  	DaylightRoad2_37
8515.45       	40.237  	44.428  	45.417  	80059.68      	42.172  	45.475  	46.310  	0.00          	0.000   	0.000   	0.000   	6207.58       	40.175  	44.395  	45.388  	MarketPlace_22
3671.74       	38.814  	43.354  	44.347  	43049.28      	40.528  	44.074  	45.067  	0.00          	0.000   	0.000   	0.000   	2401.50       	38.759  	43.330  	44.324  	MarketPlace_27
1732.55       	36.867  	42.240  	43.006  	24134.88      	38.836  	42.885  	43.759  	0.00          	0.000   	0.000   	0.000   	1009.89       	36.803  	42.219  	42.982  	MarketPlace_32
866.57        	34.810  	40.955  	41.709  	12949.92      	36.789  	41.043  	42.098  	0.00          	0.000   	0.000   	0.000   	476.78        	34.746  	40.952  	41.696  	MarketPlace_37
9005.92       	39.885  	45.148  	46.748  	55152.00      	41.139  	45.845  	47.939  	0.00          	0.000   	0.000   	0.000   	7517.34       	39.844  	45.126  	46.709  	BasketballDrive_22
3944.31       	38.864  	44.037  	44.848  	26439.36      	39.869  	44.934  	46.477  	0.00          	0.000   	0.000   	0.000   	3218.66       	38.832  	44.008  	44.796  	BasketballDrive_27
1986.86       	37.433  	42.759  	43.006  	14627.52      	38.830  	43.882  	44.760  	0.00          	0.000   	0.000   	0.000   	1579.09       	37.388  	42.723  	42.950  	BasketballDrive_32
1065.57       	35.655  	41.447  	41.102  	8301.60       	37.513  	42.168  	42.411  	0.00          	0.000   	0.000   	0.000   	832.15        	35.595  	41.424  	41.060  	BasketballDrive_37
26062.29      	37.727  	43.048  	45.313  	178549.44     	41.414  	43.813  	45.743  	0.00          	0.000   	0.000   	0.000   	21143.35      	37.608  	43.024  	45.299  	BQTerrace_22
5821.40       	35.556  	41.792  	44.083  	100969.92     	38.160  	42.137  	44.234  	0.00          	0.000   	0.000   	0.000   	2752.09       	35.472  	41.781  	44.078  	BQTerrace_27
2615.95       	34.049  	40.442  	42.825  	60011.52      	35.897  	40.642  	42.920  	0.00          	0.000   	0.000   	0.000   	764.49        	33.989  	40.436  	42.822  	BQTerrace_32
1325.49       	32.241  	38.332  	40.671  	34440.96      	33.480  	38.433  	40.753  	0.00          	0.000   	0.000   	0.000   	257.25        	32.201  	38.329  	40.668  	BQTerrace_37
12671.04      	38.412  	40.065  	44.025  	131731.20     	40.376  	41.376  	45.234  	0.00          	0.000   	0.000   	0.000   	8830.39       	38.349  	40.023  	43.986  	Cactus_22
5129.43       	37.000  	39.380  	42.327  	68723.52      	38.557  	40.002  	43.568  	0.00          	0.000   	0.000   	0.000   	3078.01       	36.950  	39.360  	42.287  	Cactus_27
2512.72       	35.195  	38.594  	40.689  	39442.08      	36.960  	39.198  	41.961  	0.00          	0.000   	0.000   	0.000   	1321.46       	35.138  	38.574  	40.648  	Cactus_32
1288.82       	33.138  	37.368  	38.763  	21929.76      	34.987  	37.793  	39.431  	0.00          	0.000   	0.000   	0.000   	622.98        	33.078  	37.355  	38.741  	Cactus_37
7852.81       	46.248  	48.430  	49.045  	32905.92      	48.744  	50.712  	51.452  	0.00          	0.000   	0.000   	0.000   	7044.65       	46.167  	48.356  	48.968  	RitualDance_22
4050.14       	43.123  	46.109  	46.316  	19566.72      	46.909  	48.971  	49.610  	0.00          	0.000   	0.000   	0.000   	3549.60       	43.001  	46.017  	46.210  	RitualDance_27
2185.03       	39.970  	44.365  	44.110  	11620.32      	44.703  	47.249  	47.503  	0.00          	0.000   	0.000   	0.000   	1880.67       	39.817  	44.272  	44.000  	RitualDance_32
1212.70       	37.031  	42.448  	42.505  	6860.64       	42.152  	44.555  	45.363  	0.00          	0.000   	0.000   	0.000   	1030.51       	36.865  	42.380  	42.413  	RitualDance_37
3170.74       	41.716  	44.356  	45.157  	33231.84      	45.380  	46.615  	48.113  	0.00          	0.000   	0.000   	0.000   	2201.03       	41.598  	44.283  	45.062  	BasketballDrill_22
1489.05       	38.723  	42.101  	42.469  	17826.72      	41.896  	44.032  	45.210  	0.00          	0.000   	0.000   	0.000   	962.03        	38.620  	42.038  	42.380  	BasketballDrill_27
745.17        	35.864  	39.977  	40.189  	9602.40       	38.776  	41.805  	42.796  	0.00          	0.000   	0.000   	0.000   	459.45        	35.770  	39.918  	40.105  	BasketballDrill_32
391.11        	33.267  	38.151  	38.162  	5129.76       	35.926  	39.437  	40.183  	0.00          	0.000   	0.000   	0.000   	238.25        	33.181  	38.110  	38.097  	BasketballDrill_37
3259.45       	40.186  	44.031  	45.617  	34494.72      	42.783  	45.304  	47.275  	0.00          	0.000   	0.000   	0.000   	2251.87       	40.102  	43.989  	45.564  	BQMall_22
1635.96       	37.712  	42.179  	43.233  	22337.28      	40.677  	43.273  	44.778  	0.00          	0.000   	0.000   	0.000   	968.18        	37.617  	42.144  	43.183  	BQMall_27
877.61        	34.983  	40.202  	40.908  	14115.84      	38.084  	41.305  	42.393  	0.00          	0.000   	0.000   	0.000   	450.57        	34.883  	40.166  	40.860  	BQMall_32
484.38        	32.218  	38.375  	39.074  	8418.72       	35.047  	39.133  	40.037  	0.00          	0.000   	0.000   	0.000   	228.43        	32.127  	38.351  	39.043  	BQMall_37
9955.80       	38.450  	41.674  	42.422  	77805.60      	45.368  	45.710  	46.458  	0.00          	0.000   	0.000   	0.000   	7767.10       	38.226  	41.543  	42.292  	PartyScene_22
4759.17       	34.629  	38.975  	39.567  	51549.12      	40.634  	41.430  	42.230  	0.00          	0.000   	0.000   	0.000   	3249.82       	34.435  	38.896  	39.481  	PartyScene_27
2325.97       	31.302  	36.920  	37.293  	32418.72      	36.351  	38.618  	39.294  	0.00          	0.000   	0.000   	0.000   	1355.24       	31.139  	36.866  	37.228  	PartyScene_32
1132.48       	28.392  	35.224  	35.405  	18954.24      	32.422  	36.078  	36.543  	0.00          	0.000   	0.000   	0.000   	557.59        	28.262  	35.196  	35.368  	PartyScene_37
8499.01       	38.621  	41.307  	42.448  	37896.48      	42.054  	43.747  	44.608  	0.00          	0.000   	0.000   	0.000   	7550.71       	38.510  	41.228  	42.379  	RaceHorsesC_22
3750.96       	35.562  	39.033  	40.300  	23945.28      	39.300  	41.042  	42.312  	0.00          	0.000   	0.000   	0.000   	3099.53       	35.442  	38.968  	40.235  	RaceHorsesC_27
1802.95       	32.647  	37.154  	38.372  	14689.44      	36.475  	38.706  	40.400  	0.00          	0.000   	0.000   	0.000   	1387.26       	32.523  	37.104  	38.307  	RaceHorsesC_32
868.47        	29.856  	35.837  	36.825  	8175.84       	33.311  	36.589  	38.066  	0.00          	0.000   	0.000   	0.000   	632.75        	29.744  	35.813  	36.785  	RaceHorsesC_37
788.12        	42.522  	46.029  	45.457  	8594.88       	45.286  	47.753  	48.102  	0.00          	0.000   	0.000   	0.000   	536.28        	42.433  	45.973  	45.371  	BasketballPass_22
396.35        	38.800  	43.321  	42.422  	5275.68       	42.070  	44.683  	44.727  	0.00          	0.000   	0.000   	0.000   	238.95        	38.695  	43.277  	42.348  	BasketballPass_27
205.08        	35.462  	40.938  	39.721  	3140.64       	38.862  	41.862  	41.980  	0.00          	0.000   	0.000   	0.000   	110.38        	35.353  	40.908  	39.648  	BasketballPass_32
110.67        	32.652  	38.917  	37.891  	1775.52       	35.610  	39.102  	39.119  	0.00          	0.000   	0.000   	0.000   	56.97         	32.557  	38.911  	37.851  	BasketballPass_37
1665.11       	38.493  	41.681  	43.754  	14482.08      	42.594  	44.534  	46.533  	0.00          	0.000   	0.000   	0.000   	1251.65       	38.361  	41.589  	43.664  	BlowingBubbles_22
756.86        	35.301  	39.091  	41.028  	9041.76       	39.501  	41.325  	43.273  	0.00          	0.000   	0.000   	0.000   	489.60        	35.166  	39.019  	40.956  	BlowingBubbles_27
365.75        	32.397  	36.930  	38.817  	5384.16       	36.324  	38.742  	40.398  	0.00          	0.000   	0.000   	0.000   	203.86        	32.270  	36.872  	38.766  	BlowingBubbles_32
183.91        	29.915  	35.015  	36.904  	2983.20       	33.166  	35.772  	37.854  	0.00          	0.000   	0.000   	0.000   	93.62         	29.810  	34.990  	36.873  	BlowingBubbles_37
1255.95       	39.234  	44.999  	45.981  	14270.40      	42.678  	46.056  	46.945  	0.00          	0.000   	0.000   	0.000   	836.13        	39.123  	44.965  	45.950  	BQSquare_22
582.35        	35.845  	42.562  	43.449  	9867.84       	39.338  	43.225  	44.100  	0.00          	0.000   	0.000   	0.000   	282.81        	35.733  	42.540  	43.428  	BQSquare_27
302.38        	32.551  	40.647  	41.320  	6365.76       	35.593  	41.190  	41.818  	0.00          	0.000   	0.000   	0.000   	106.79        	32.453  	40.630  	41.303  	BQSquare_32
176.41        	29.870  	38.790  	39.313  	4028.64       	32.209  	39.058  	39.517  	0.00          	0.000   	0.000   	0.000   	52.15         	29.794  	38.781  	39.306  	BQSquare_37
2293.56       	39.257  	41.478  	42.006  	12976.80      	43.728  	45.138  	45.798  	0.00          	0.000   	0.000   	0.000   	1948.94       	39.112  	41.360  	41.884  	RaceHorses_22
1119.30       	35.310  	38.860  	39.191  	8489.28       	40.469  	42.023  	42.763  	0.00          	0.000   	0.000   	0.000   	881.56        	35.143  	38.758  	39.075  	RaceHorses_27
550.56        	31.874  	36.649  	36.685  	5268.48       	37.140  	39.273  	39.954  	0.00          	0.000   	0.000   	0.000   	398.37        	31.704  	36.565  	36.580  	RaceHorses_32
284.00        	29.150  	35.261  	35.110  	3005.76       	33.672  	36.910  	37.321  	0.00          	0.000   	0.000   	0.000   	196.20        	29.004  	35.208  	35.039  	RaceHorses_37
1882.66       	43.404  	48.058  	49.507  	35936.64      	45.207  	48.785  	50.169  	0.00          	0.000   	0.000   	0.000   	784.15        	43.346  	48.035  	49.485  	FourPeople_22
1019.87       	41.919  	46.539  	47.762  	22677.60      	43.488  	47.053  	48.282  	0.00          	0.000   	0.000   	0.000   	321.23        	41.868  	46.523  	47.745  	FourPeople_27
602.26        	39.823  	44.830  	45.933  	14477.76      	41.360  	45.236  	46.418  	0.00          	0.000   	0.000   	0.000   	154.67        	39.774  	44.817  	45.918  	FourPeople_32
364.65        	37.274  	42.523  	43.744  	9039.36       	38.688  	42.720  	43.977  	0.00          	0.000   	0.000   	0.000   	84.82         	37.228  	42.517  	43.736  	FourPeople_37
1398.73       	43.214  	49.175  	49.858  	24086.40      	45.041  	49.774  	50.418  	0.00          	0.000   	0.000   	0.000   	666.87        	43.155  	49.156  	49.840  	Johnny_22
626.88        	42.065  	47.852  	48.423  	13707.84      	43.562  	48.407  	48.994  	0.00          	0.000   	0.000   	0.000   	204.91        	42.017  	47.834  	48.405  	Johnny_27
343.43        	40.569  	46.418  	46.867  	8071.20       	41.931  	46.879  	47.406  	0.00          	0.000   	0.000   	0.000   	94.14         	40.525  	46.403  	46.849  	Johnny_32
199.37        	38.676  	44.162  	44.677  	4730.40       	39.936  	44.390  	45.104  	0.00          	0.000   	0.000   	0.000   	53.20         	38.636  	44.155  	44.663  	Johnny_37
1627.17       	43.769  	48.584  	49.579  	26301.12      	45.604  	49.302  	50.217  	0.00          	0.000   	0.000   	0.000   	831.24        	43.709  	48.561  	49.559  	KristenAndSara_22
