average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
795.20        	42.775  	45.986  	45.553  	8594.88       	45.286  	47.753  	48.102  	0.00          	0.000   	0.000   	0.000   	673.33        	42.736  	45.958  	45.513  	BasketballPass_22
393.96        	39.070  	43.268  	42.497  	5275.68       	42.070  	44.683  	44.727  	0.00          	0.000   	0.000   	0.000   	317.69        	39.024  	43.246  	42.463  	BasketballPass_27
200.63        	35.820  	40.917  	40.092  	3140.64       	38.862  	41.862  	41.980  	0.00          	0.000   	0.000   	0.000   	154.69        	35.773  	40.902  	40.063  	BasketballPass_32
106.95        	33.019  	38.992  	38.167  	1775.52       	35.610  	39.102  	39.119  	0.00          	0.000   	0.000   	0.000   	80.88         	32.978  	38.990  	38.152  	BasketballPass_37
1700.27       	38.570  	41.852  	43.494  	14482.08      	42.594  	44.534  	46.533  	0.00          	0.000   	0.000   	0.000   	1500.56       	38.507  	41.810  	43.446  	BlowingBubbles_22
778.96        	35.451  	39.352  	40.854  	9041.76       	39.501  	41.325  	43.273  	0.00          	0.000   	0.000   	0.000   	649.85        	35.388  	39.321  	40.816  	BlowingBubbles_27
377.97        	32.635  	37.222  	38.610  	5384.16       	36.324  	38.742  	40.398  	0.00          	0.000   	0.000   	0.000   	299.75        	32.577  	37.198  	38.582  	BlowingBubbles_32
188.68        	30.125  	35.502  	36.740  	2983.20       	33.166  	35.772  	37.854  	0.00          	0.000   	0.000   	0.000   	145.01        	30.077  	35.497  	36.722  	BlowingBubbles_37
1097.44       	39.200  	44.976  	46.027  	14270.40      	42.678  	46.056  	46.945  	0.00          	0.000   	0.000   	0.000   	891.61        	39.146  	44.959  	46.012  	BQSquare_22
469.98        	35.914  	42.624  	43.565  	9867.84       	39.338  	43.225  	44.100  	0.00          	0.000   	0.000   	0.000   	323.14        	35.861  	42.614  	43.557  	BQSquare_27
230.58        	32.734  	40.572  	41.407  	6365.76       	35.593  	41.190  	41.818  	0.00          	0.000   	0.000   	0.000   	134.72        	32.689  	40.563  	41.400  	BQSquare_32
128.34        	30.079  	38.719  	39.403  	4028.64       	32.209  	39.058  	39.517  	0.00          	0.000   	0.000   	0.000   	67.40         	30.046  	38.714  	39.401  	BQSquare_37
2133.59       	39.358  	41.886  	42.340  	12976.80      	43.728  	45.138  	45.798  	0.00          	0.000   	0.000   	0.000   	1964.16       	39.290  	41.835  	42.286  	RaceHorses_22
1047.41       	35.584  	39.361  	39.735  	8489.28       	40.469  	42.023  	42.763  	0.00          	0.000   	0.000   	0.000   	931.13        	35.507  	39.320  	39.688  	RaceHorses_27
513.55        	32.235  	37.286  	37.356  	5268.48       	37.140  	39.273  	39.954  	0.00          	0.000   	0.000   	0.000   	439.25        	32.159  	37.255  	37.316  	RaceHorses_32
257.80        	29.512  	35.828  	35.636  	3005.76       	33.672  	36.910  	37.321  	0.00          	0.000   	0.000   	0.000   	214.87        	29.447  	35.811  	35.610  	RaceHorses_37
3003.17       	41.716  	44.292  	45.022  	33231.84      	45.380  	46.615  	48.113  	0.00          	0.000   	0.000   	0.000   	2530.84       	41.659  	44.256  	44.974  	BasketballDrill_22
1406.50       	38.763  	42.063  	42.342  	17826.72      	41.896  	44.032  	45.210  	0.00          	0.000   	0.000   	0.000   	1149.93       	38.714  	42.032  	42.297  	BasketballDrill_27
702.83        	35.919  	40.031  	40.174  	9602.40       	38.776  	41.805  	42.796  	0.00          	0.000   	0.000   	0.000   	563.77        	35.875  	40.004  	40.133  	BasketballDrill_32
368.94        	33.357  	38.162  	38.102  	5129.76       	35.926  	39.437  	40.183  	0.00          	0.000   	0.000   	0.000   	294.55        	33.317  	38.142  	38.070  	BasketballDrill_37
3541.20       	40.080  	43.997  	45.075  	34494.72      	42.783  	45.304  	47.275  	0.00          	0.000   	0.000   	0.000   	3057.55       	40.038  	43.976  	45.041  	BQMall_22
1712.12       	37.586  	42.254  	42.758  	22337.28      	40.677  	43.273  	44.778  	0.00          	0.000   	0.000   	0.000   	1389.85       	37.538  	42.238  	42.726  	BQMall_27
885.26        	34.921  	40.411  	40.589  	14115.84      	38.084  	41.305  	42.393  	0.00          	0.000   	0.000   	0.000   	678.53        	34.871  	40.397  	40.561  	BQMall_32
475.54        	32.235  	38.645  	38.674  	8418.72       	35.047  	39.133  	40.037  	0.00          	0.000   	0.000   	0.000   	351.43        	32.191  	38.638  	38.653  	BQMall_37
8281.42       	38.496  	41.869  	42.611  	77805.60      	45.368  	45.710  	46.458  	0.00          	0.000   	0.000   	0.000   	7195.10       	38.388  	41.809  	42.551  	PartyScene_22
3848.32       	34.927  	39.398  	39.893  	51549.12      	40.634  	41.430  	42.230  	0.00          	0.000   	0.000   	0.000   	3103.00       	34.838  	39.367  	39.856  	PartyScene_27
1831.71       	31.754  	37.330  	37.667  	32418.72      	36.351  	38.618  	39.294  	0.00          	0.000   	0.000   	0.000   	1353.79       	31.682  	37.310  	37.641  	PartyScene_32
872.74        	28.934  	35.538  	35.732  	18954.24      	32.422  	36.078  	36.543  	0.00          	0.000   	0.000   	0.000   	590.22        	28.879  	35.530  	35.719  	PartyScene_37
8525.70       	38.618  	41.489  	42.577  	37896.48      	42.054  	43.747  	44.608  	0.00          	0.000   	0.000   	0.000   	8066.78       	38.564  	41.453  	42.546  	RaceHorsesC_22
3645.90       	35.557  	39.388  	40.539  	23945.28      	39.300  	41.042  	42.312  	0.00          	0.000   	0.000   	0.000   	3328.72       	35.498  	39.362  	40.511  	RaceHorsesC_27
1744.22       	32.779  	37.426  	38.721  	14689.44      	36.475  	38.706  	40.400  	0.00          	0.000   	0.000   	0.000   	1541.95       	32.722  	37.406  	38.695  	RaceHorsesC_32
854.26        	30.041  	36.099  	37.171  	8175.84       	33.311  	36.589  	38.066  	0.00          	0.000   	0.000   	0.000   	739.86        	29.990  	36.092  	37.157  	RaceHorsesC_37
12704.71      	43.290  	45.393  	45.851  	142198.08     	46.895  	47.978  	48.543  	0.00          	0.000   	0.000   	0.000   	10681.37      	43.234  	45.353  	45.809  	ArenaOfValor_22
5570.54       	40.027  	42.733  	43.024  	84796.32      	43.457  	44.786  	45.212  	0.00          	0.000   	0.000   	0.000   	4332.64       	39.974  	42.701  	42.990  	ArenaOfValor_27
2655.35       	37.215  	40.508  	40.691  	49724.64      	40.189  	42.255  	42.427  	0.00          	0.000   	0.000   	0.000   	1919.89       	37.169  	40.481  	40.663  	ArenaOfValor_32
1351.94       	34.662  	38.529  	38.479  	28154.88      	37.084  	39.602  	39.412  	0.00          	0.000   	0.000   	0.000   	933.14        	34.624  	38.512  	38.465  	ArenaOfValor_37
1288.53       	50.761  	48.984  	49.142  	63852.48      	51.087  	49.763  	50.252  	0.00          	0.000   	0.000   	0.000   	310.97        	50.756  	48.972  	49.124  	SlideEditing_22
928.76        	46.755  	45.308  	45.383  	46768.32      	47.034  	45.482  	46.366  	0.00          	0.000   	0.000   	0.000   	212.52        	46.751  	45.305  	45.368  	SlideEditing_27
694.17        	42.534  	42.590  	43.051  	34908.48      	42.870  	42.428  	43.796  	0.00          	0.000   	0.000   	0.000   	159.57        	42.529  	42.592  	43.039  	SlideEditing_32
511.86        	37.968  	38.468  	39.400  	25788.48      	38.347  	38.703  	40.225  	0.00          	0.000   	0.000   	0.000   	116.92        	37.962  	38.464  	39.388  	SlideEditing_37
925.37        	52.531  	53.353  	54.546  	25539.36      	50.313  	49.697  	51.254  	0.00          	0.000   	0.000   	0.000   	540.78        	52.565  	53.410  	54.598  	SlideShow_22
