average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
13416.11      	40.455  	43.910  	44.887  	86750.40      	43.603  	45.634  	46.305  	12675.36      	40.424  	43.893  	44.873  	0.00          	0.000   	0.000   	0.000   	MarketPlace_22
3893.97       	38.423  	42.660  	43.740  	42222.24      	40.942  	44.031  	44.915  	3506.82       	38.397  	42.646  	43.728  	0.00          	0.000   	0.000   	0.000   	MarketPlace_27
1684.03       	36.375  	41.467  	42.483  	21978.72      	38.732  	42.629  	43.404  	1479.04       	36.351  	41.456  	42.474  	0.00          	0.000   	0.000   	0.000   	MarketPlace_32
788.71        	34.217  	40.281  	41.465  	11389.92      	36.383  	40.914  	41.867  	681.63        	34.195  	40.274  	41.461  	0.00          	0.000   	0.000   	0.000   	MarketPlace_37
19131.30      	39.785  	44.223  	45.676  	90005.28      	43.089  	45.923  	48.078  	18415.40      	39.752  	44.206  	45.651  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_22
5993.19       	37.987  	42.787  	43.297  	27717.60      	40.279  	44.877  	46.381  	5773.76       	37.964  	42.766  	43.266  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_27
2841.76       	36.209  	41.481  	41.439  	13504.32      	38.844  	43.637  	44.337  	2734.06       	36.183  	41.459  	41.410  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_32
1479.89       	34.290  	40.251  	39.613  	7584.00       	37.318  	42.130  	42.246  	1418.24       	34.259  	40.232  	39.586  	0.00          	0.000   	0.000   	0.000   	BasketballDrive_37
48278.58      	38.928  	42.227  	44.619  	188481.12     	44.321  	43.626  	45.309  	46862.39      	38.874  	42.213  	44.612  	0.00          	0.000   	0.000   	0.000   	BQTerrace_22
6509.62       	35.419  	41.061  	43.574  	100141.44     	39.025  	41.711  	43.830  	5563.84       	35.383  	41.054  	43.571  	0.00          	0.000   	0.000   	0.000   	BQTerrace_27
2015.28       	33.579  	39.806  	42.419  	52926.72      	35.642  	40.030  	42.389  	1501.02       	33.559  	39.803  	42.419  	0.00          	0.000   	0.000   	0.000   	BQTerrace_32
796.92        	31.636  	38.056  	40.630  	28783.20      	32.737  	38.145  	40.434  	514.23        	31.625  	38.055  	40.632  	0.00          	0.000   	0.000   	0.000   	BQTerrace_37
18624.98      	38.594  	39.950  	43.337  	150984.48     	42.325  	42.073  	44.816  	17288.01      	38.556  	39.929  	43.322  	0.00          	0.000   	0.000   	0.000   	Cactus_22
5172.28       	36.623  	39.066  	41.592  	61573.92      	38.676  	39.891  	43.102  	4602.57       	36.602  	39.058  	41.576  	0.00          	0.000   	0.000   	0.000   	Cactus_27
2314.32       	34.603  	38.174  	39.898  	32748.48      	36.524  	38.877  	41.248  	2006.90       	34.583  	38.166  	39.884  	0.00          	0.000   	0.000   	0.000   	Cactus_32
1131.70       	32.440  	36.942  	38.173  	17634.24      	34.203  	37.523  	38.907  	965.00        	32.422  	36.936  	38.166  	0.00          	0.000   	0.000   	0.000   	Cactus_37
8409.59       	46.022  	48.023  	48.658  	26086.08      	48.913  	50.461  	51.831  	8231.04       	45.993  	47.999  	48.626  	0.00          	0.000   	0.000   	0.000   	RitualDance_22
4086.34       	42.693  	45.512  	45.719  	15583.20      	46.572  	48.473  	49.433  	3970.21       	42.654  	45.482  	45.681  	0.00          	0.000   	0.000   	0.000   	RitualDance_27
2135.26       	39.468  	43.774  	43.683  	9131.04       	43.853  	46.625  	46.868  	2064.59       	39.424  	43.746  	43.651  	0.00          	0.000   	0.000   	0.000   	RitualDance_32
1167.64       	36.565  	41.920  	41.989  	5257.44       	40.907  	43.933  	44.779  	1126.33       	36.522  	41.900  	41.961  	0.00          	0.000   	0.000   	0.000   	RitualDance_37
3492.51       	41.327  	43.562  	44.382  	25392.00      	43.813  	45.083  	46.468  	3271.31       	41.302  	43.546  	44.361  	0.00          	0.000   	0.000   	0.000   	BasketballDrill_22
1493.37       	38.184  	41.148  	41.550  	13468.80      	40.339  	42.904  	44.121  	1372.40       	38.162  	41.130  	41.524  	0.00          	0.000   	0.000   	0.000   	BasketballDrill_27
714.28        	35.268  	39.178  	39.345  	7167.84       	37.256  	40.709  	41.708  	649.09        	35.248  	39.162  	39.321  	0.00          	0.000   	0.000   	0.000   	BasketballDrill_32
370.05        	32.746  	37.492  	37.245  	3866.40       	34.567  	38.689  	39.222  	334.73        	32.728  	37.480  	37.225  	0.00          	0.000   	0.000   	0.000   	BasketballDrill_37
4701.28       	39.837  	43.092  	43.900  	29539.68      	43.002  	44.444  	46.016  	4450.39       	39.805  	43.078  	43.879  	0.00          	0.000   	0.000   	0.000   	BQMall_22
1984.00       	36.743  	41.142  	41.341  	18280.32      	39.984  	42.380  	43.648  	1819.39       	36.710  	41.130  	41.318  	0.00          	0.000   	0.000   	0.000   	BQMall_27
956.48        	33.788  	39.299  	39.368  	11024.16      	36.766  	40.267  	41.295  	854.78        	33.758  	39.289  	39.348  	0.00          	0.000   	0.000   	0.000   	BQMall_32
489.91        	31.021  	37.837  	37.582  	6288.96       	33.437  	38.312  	39.217  	431.34        	30.996  	37.833  	37.566  	0.00          	0.000   	0.000   	0.000   	BQMall_37
10700.34      	38.398  	40.690  	41.313  	63301.44      	42.971  	42.930  	43.741  	10169.02      	38.352  	40.668  	41.288  	0.00          	0.000   	0.000   	0.000   	PartyScene_22
4249.52       	34.299  	38.196  	38.529  	40931.52      	38.319  	39.885  	40.616  	3879.00       	34.259  	38.179  	38.508  	0.00          	0.000   	0.000   	0.000   	PartyScene_27
1866.90       	30.950  	36.310  	36.487  	24861.12      	34.235  	37.357  	37.884  	1634.63       	30.917  	36.300  	36.473  	0.00          	0.000   	0.000   	0.000   	PartyScene_32
831.64        	27.974  	34.868  	34.943  	14063.52      	30.462  	35.386  	35.729  	697.99        	27.949  	34.863  	34.935  	0.00          	0.000   	0.000   	0.000   	PartyScene_37
12224.65      	39.955  	41.068  	42.248  	36739.20      	43.963  	44.200  	44.825  	11977.03      	39.914  	41.036  	42.222  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_22
4141.92       	35.271  	38.403  	39.660  	22491.84      	40.059  	40.915  	42.088  	3956.57       	35.222  	38.378  	39.635  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_27
1785.76       	31.985  	36.744  	37.902  	13264.80      	36.410  	38.147  	39.819  	1669.81       	31.940  	36.730  	37.882  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_32
808.10        	29.258  	35.528  	36.485  	7107.84       	32.727  	36.316  	37.779  	744.47        	29.223  	35.520  	36.472  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_37
1244.16       	42.114  	44.336  	43.921  	6778.08       	44.541  	46.124  	46.451  	1188.27       	42.089  	44.318  	43.895  	0.00          	0.000   	0.000   	0.000   	BasketballPass_22
563.42        	37.960  	41.471  	40.613  	4121.76       	40.983  	43.259  	43.432  	527.48        	37.929  	41.453  	40.584  	0.00          	0.000   	0.000   	0.000   	BasketballPass_27
270.65        	34.481  	39.303  	38.283  	2356.32       	37.444  	40.394  	40.446  	249.58        	34.451  	39.292  	38.261  	0.00          	0.000   	0.000   	0.000   	BasketballPass_32
137.54        	31.596  	37.757  	36.593  	1280.16       	34.138  	38.281  	38.382  	126.00        	31.571  	37.751  	36.575  	0.00          	0.000   	0.000   	0.000   	BasketballPass_37
2015.35       	38.504  	41.000  	42.023  	12194.88      	42.969  	43.078  	44.830  	1912.53       	38.458  	40.979  	41.995  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_22
775.56        	34.687  	38.406  	39.280  	7310.40       	38.785  	40.062  	41.876  	709.55        	34.646  	38.390  	39.254  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_27
343.31        	31.615  	36.436  	37.176  	4134.24       	35.059  	37.478  	39.320  	305.01        	31.580  	36.425  	37.154  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_32
158.49        	28.981  	34.989  	35.743  	2162.88       	31.650  	35.268  	37.135  	138.24        	28.954  	34.986  	35.729  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_37
1932.62       	38.883  	43.160  	44.046  	12860.16      	43.158  	44.791  	45.641  	1822.24       	38.840  	43.144  	44.030  	0.00          	0.000   	0.000   	0.000   	BQSquare_22
613.44        	34.606  	41.446  	42.287  	8668.80       	38.752  	42.532  	43.351  	532.07        	34.564  	41.435  	42.277  	0.00          	0.000   	0.000   	0.000   	BQSquare_27
260.18        	31.426  	39.453  	39.880  	5433.12       	34.624  	40.256  	40.456  	207.93        	31.394  	39.445  	39.874  	0.00          	0.000   	0.000   	0.000   	BQSquare_32
125.70        	28.648  	38.269  	38.621  	3377.76       	31.088  	38.684  	38.907  	92.85         	28.623  	38.265  	38.618  	0.00          	0.000   	0.000   	0.000   	BQSquare_37
2447.91       	39.503  	41.046  	41.650  	10290.24      	43.733  	43.594  	44.224  	2368.70       	39.460  	41.021  	41.624  	0.00          	0.000   	0.000   	0.000   	RaceHorses_22
1069.73       	35.015  	38.203  	38.549  	6564.96       	39.508  	40.475  	41.412  	1014.23       	34.970  	38.180  	38.520  	0.00          	0.000   	0.000   	0.000   	RaceHorses_27
486.07        	31.487  	36.251  	36.327  	3839.52       	35.489  	37.695  	38.331  	452.19        	31.447  	36.236  	36.307  	0.00          	0.000   	0.000   	0.000   	RaceHorses_32
233.16        	28.821  	34.809  	34.837  	2077.44       	31.784  	35.855  	36.089  	214.54        	28.791  	34.798  	34.825  	0.00          	0.000   	0.000   	0.000   	RaceHorses_37
1807.48       	42.846  	47.010  	48.323  	28848.96      	44.895  	47.885  	49.143  	1534.34       	42.825  	47.001  	48.315  	0.00          	0.000   	0.000   	0.000   	FourPeople_22
682.28        	40.849  	45.470  	46.581  	18213.12      	42.660  	46.161  	47.351  	505.20        	40.830  	45.463  	46.573  	0.00          	0.000   	0.000   	0.000   	FourPeople_27
354.13        	38.483  	43.586  	44.625  	11267.04      	39.972  	44.117  	45.176  	243.90        	38.468  	43.581  	44.619  	0.00          	0.000   	0.000   	0.000   	FourPeople_32
197.35        	35.744  	41.590  	42.858  	6878.40       	36.949  	41.901  	43.240  	129.87        	35.732  	41.587  	42.855  	0.00          	0.000   	0.000   	0.000   	FourPeople_37
1641.67       	43.017  	48.351  	48.941  	19198.08      	44.968  	49.088  	49.674  	1464.33       	42.997  	48.343  	48.934  	0.00          	0.000   	0.000   	0.000   	Johnny_22
460.06        	41.430  	47.041  	47.439  	11152.80      	43.163  	47.717  	48.173  	352.05        	41.413  	47.034  	47.431  	0.00          	0.000   	0.000   	0.000   	Johnny_27
216.54        	39.608  	45.303  	45.608  	6233.76       	41.056  	45.855  	46.081  	155.76        	39.593  	45.297  	45.604  	0.00          	0.000   	0.000   	0.000   	Johnny_32
118.73        	37.437  	43.107  	43.837  	3549.60       	38.680  	43.405  	44.239  	84.08         	37.424  	43.104  	43.833  	0.00          	0.000   	0.000   	0.000   	Johnny_37
1637.31       	43.483  	47.664  	48.615  	20900.64      	45.399  	48.462  	49.385  	1442.73       	43.464  	47.656  	48.607  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_22
579.00        	41.577  	46.127  	47.064  	13116.48      	43.487  	46.860  	47.929  	452.35        	41.558  	46.119  	47.055  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_27
276.56        	39.368  	44.402  	45.097  	7928.16       	41.069  	45.009  	45.754  	199.27        	39.351  	44.396  	45.090  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_32
148.84        	36.895  	42.417  	43.415  	4804.32       	38.311  	42.814  	43.917  	101.82        	36.880  	42.413  	43.410  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_37
15247.21      	43.001  	44.179  	44.715  	111691.20     	45.604  	46.263  	46.807  	14273.03      	42.975  	44.158  	44.694  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_22
5913.84       	39.352  	41.398  	41.683  	66592.32      	42.025  	43.552  	43.881  	5300.92       	39.325  	41.376  	41.660  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_27
2561.26       	36.260  	39.192  	39.301  	38013.60      	38.670  	40.955  	40.916  	2203.16       	36.235  	39.174  	39.285  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_32
1238.48       	33.562  	37.429  	37.386  	21305.28      	35.513  	38.756  	38.431  	1035.79       	33.542  	37.416  	37.376  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_37
785.29        	48.192  	46.505  	46.680  	52532.16      	48.721  	46.842  	47.644  	262.60        	48.186  	46.502  	46.671  	0.00          	0.000   	0.000   	0.000   	SlideEditing_22
583.26        	43.884  	43.645  	43.717  	38938.56      	44.374  	43.215  	44.559  	195.83        	43.879  	43.649  	43.708  	0.00          	0.000   	0.000   	0.000   	SlideEditing_27
442.16        	39.519  	41.888  	41.861  	29735.04      	40.136  	41.964  	43.155  	146.27        	39.513  	41.887  	41.848  	0.00          	0.000   	0.000   	0.000   	SlideEditing_32
326.53        	34.875  	37.894  	38.510  	21858.72      	35.665  	38.177  	39.635  	109.03        	34.867  	37.892  	38.498  	0.00          	0.000   	0.000   	0.000   	SlideEditing_37
1557.15       	49.955  	51.183  	52.773  	21708.96      	49.102  	50.658  	51.589  	1353.60       	49.964  	51.188  	52.785  	0.00          	0.000   	0.000   	0.000   	SlideShow_22
725.74        	45.859  	47.985  	49.772  	15226.08      	45.672  	47.828  	48.932  	579.27        	45.861  	47.987  	49.780  	0.00          	0.000   	0.000   	0.000   	SlideShow_27
403.99        	42.162  	45.265  	47.623  	11146.08      	42.252  	45.170  	46.575  	295.48        	42.161  	45.266  	47.634  	0.00          	0.000   	0.000   	0.000   	SlideShow_32
254.67        	38.937  	42.982  	44.766  	8213.28       	38.517  	42.510  	43.793  	174.28        	38.941  	42.987  	44.776  	0.00          	0.000   	0.000   	0.000   	SlideShow_37
3238.77       	41.291  	43.507  	44.269  	23457.60      	43.637  	45.062  	46.185  	3034.54       	41.268  	43.491  	44.250  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_22
1405.01       	38.042  	40.949  	41.386  	12806.88      	40.128  	42.661  	43.841  	1289.84       	38.020  	40.931  	41.362  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_27
685.34        	35.121  	38.903  	39.101  	7071.36       	37.079  	40.455  	41.174  	620.84        	35.101  	38.887  	39.080  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_32
